n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
0,-91.990558762,-91.900427646,-92.000417254,-91.754107968,-92.033578786,-91.912905142,-92.085521568,-99.791115496,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-91.941705944,-92.045672984,-92.05999627,-91.938232204,-91.991310538,-91.980688504
1,1.490089756,-91.900427646,-91.991327304,-8.473888675999998,-92.033578786,-91.912905142,-92.085521568,-92.813150872,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-73.510767152,-92.045672984,-92.05999627,-91.938232204,-6.866985025999999,-91.980688504
2,1.490089756,-91.900427646,-18.606664978,-8.473888675999998,-56.91788482,-91.912905142,-92.085521568,-0.387710856,-91.956898108,-87.091633174,-91.890224916,-91.99535203,-47.962836280000005,-92.032586214,-73.510767152,-92.045672984,-91.969923212,-91.938232204,-6.866985025999999,-91.980688504
3,1.490089756,-89.758320824,-18.606664978,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-91.956898108,-45.918804168,-91.890224916,-14.572529048,-3.35578008,-12.43487075,-19.18293071,-92.045672984,-91.969923212,-91.938232204,-6.866985025999999,-91.980688504
4,1.490089756,-89.758320824,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-91.956898108,-18.476181132,-23.141336086000003,-14.572529048,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-25.022942638,-91.938232204,-6.866985025999999,-91.980688504
5,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-25.022942638,-91.938232204,-6.866985025999999,-68.30274475399999
6,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
7,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-67.224709684,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
8,1.490089756,-31.546961546,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-31.952999234,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
9,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-25.377292912,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
10,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-25.377292912,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
11,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,40.793240402,-25.377292912,-25.022942638,-33.726537914,-6.866985025999999,-42.257692574
12,59.897271662,-6.994889359999999,-13.763412906,-8.473888675999998,-56.91788482,16.794186011999997,88.187363452,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,18.058055192,-3.35578008,43.42609454400001,76.670180284,-25.377292912,-25.022942638,-33.726537914,-6.866985025999999,-33.45469232800001
